pot,treatment,treatment_ID,replicate,pot_ID,spec_comb,tree_ID,species,date_t0,RCD_1_mm,RCD_2_mm,RCD_t0_mm,shoot_t0_cm,notes,date_t1,RCD_1_mm,RCD_2_mm,RCD_t1_mm,shoot_t1_cm,date_t2,RCD_1_mm,RCD_2_mm,RCD_t2_mm,shoot_t2_cm,notes,date_t3,RCD_1_mm,RCD_2_mm,RCD_t3_mm,shoot_t3_cm
15,mix,Mix_AT_ET ,1,Mix_1AT_2ET 1,PRSE-QURU-QURU,1,QURU,2024-07-13,2.99,2.88,2.9,13.0,,2024-07-25,3.11,2.92,3.0,13.0,2024-08-22,3.01,2.79,2.9,13.5,,,,,0.0,
15,mix,Mix_AT_ET ,1,Mix_1AT_2ET 1,PRSE-QURU-QURU,2,PRSE,2024-07-13,2.10,1.91,2.0,30.0,,2024-07-25,2.50,2.32,2.4,32.0,2024-08-22,2.68,2.52,2.6,30.0,,,,,0.0,
15,mix,Mix_AT_ET ,1,Mix_1AT_2ET 1,PRSE-QURU-QURU,3,QURU,2024-07-13,3.00,3.50,3.3,13.5,,2024-07-25,2.88,3.67,3.3,14.0,2024-08-22,2.82,2.97,2.9,14.5,,,,,0.0,
16,mix,Mix_AI_ET ,1,Mix_1AI_2ET 1,ACSA-QURU-QURU,1,ACSA,2024-07-13,1.87,2.01,1.9,5.5,,2024-07-25,2.34,2.45,2.4,6.0,2024-08-22,2.27,2.13,2.2,9.0,,,,,0.0,
16,mix,Mix_AI_ET ,1,Mix_1AI_2ET 1,ACSA-QURU-QURU,2,QURU,2024-07-13,3.99,3.57,3.8,16.0,,2024-07-25,4.01,4.55,4.3,17.5,2024-08-22,3.61,3.92,3.8,15.5,,,,,0.0,
16,mix,Mix_AI_ET ,1,Mix_1AI_2ET 1,ACSA-QURU-QURU,3,QURU,2024-07-13,3.87,3.62,3.7,19.5,,2024-07-25,3.99,4.38,4.2,19.0,2024-08-22,4.01,3.50,3.8,18.0,,,,,0.0,
17,mix,Mix_AT_ET ,3,Mix_2AT_1ET 3,PRSE-PRSE-QURU,1,PRSE,2024-07-13,2.89,2.85,2.9,35.0,,2024-07-25,3.51,2.98,3.2,37.0,2024-08-22,4.50,4.87,4.7,44.5,,,,,0.0,
17,mix,Mix_AT_ET ,3,Mix_2AT_1ET 3,PRSE-PRSE-QURU,2,QURU,2024-07-13,2.84,2.88,2.9,14.0,,2024-07-25,2.88,3.52,3.2,14.5,2024-08-22,4.10,3.73,3.9,14.0,,,,,0.0,
17,mix,Mix_AT_ET ,3,Mix_2AT_1ET 3,PRSE-PRSE-QURU,3,PRSE,2024-07-13,2.28,2.24,2.3,24.0,,2024-07-25,3.01,2.76,2.9,25.0,2024-08-22,5.59,5.75,5.7,39.0,,,,,0.0,
18,mix,Mix_AI_EI ,1,Mix_2AI_1EI 1,ACSA-ACSA-PIST,1,PIST,2024-07-13,2.97,2.83,2.9,14.0,,2024-07-25,3.45,3.12,3.3,14.0,2024-08-22,3.12,3.06,3.1,15.5,,,,,0.0,
18,mix,Mix_AI_EI ,1,Mix_2AI_1EI 1,ACSA-ACSA-PIST,2,ACSA,2024-07-13,1.75,1.75,1.8,7.5,,2024-07-25,1.94,2.02,2.0,7.0,2024-08-22,2.03,2.04,2.0,7.0,,,,,0.0,
18,mix,Mix_AI_EI ,1,Mix_2AI_1EI 1,ACSA-ACSA-PIST,3,ACSA,2024-07-13,1.59,1.58,1.6,6.0,,2024-07-25,1.70,1.84,1.8,7.0,2024-08-22,1.70,1.54,1.6,5.0,,,,,0.0,
19,mono,M_AT ,3,M_AT 3,PRSE-PRSE-PRSE,1,PRSE,2024-07-13,2.55,2.54,2.5,33.0,,2024-07-25,2.84,2.55,2.7,33.5,2024-08-22,2.97,2.91,2.9,39.5,dying,,,,0.0,
19,mono,M_AT ,3,M_AT 3,PRSE-PRSE-PRSE,2,PRSE,2024-07-13,2.03,1.99,2.0,23.0,,2024-07-25,2.43,2.10,2.3,23.0,2024-08-22,1.90,1.96,1.9,26.5,dying,,,,0.0,
19,mono,M_AT ,3,M_AT 3,PRSE-PRSE-PRSE,3,PRSE,2024-07-13,2.90,3.15,3.0,14.0,"top is dead, measured to tallest living apical meristem",2024-07-25,2.98,3.44,3.2,14.5,2024-08-22,3.16,3.12,3.1,20.0,only living part; sick,,,,0.0,
20,mono,M_ET ,2,M_ET 2,QURU-QURU-QURU,1,QURU,2024-07-13,3.22,3.18,3.2,15.0,,2024-07-25,3.33,3.21,3.3,15.5,2024-08-22,4.26,4.19,4.2,14.5,,,,,0.0,
20,mono,M_ET ,2,M_ET 2,QURU-QURU-QURU,2,QURU,2024-07-13,3.92,4.43,4.2,17.5,,2024-07-25,3.99,4.25,4.1,18.5,2024-08-22,4.24,4.55,4.4,18.0,,,,,0.0,
20,mono,M_ET ,2,M_ET 2,QURU-QURU-QURU,3,QURU,2024-07-13,2.91,2.55,2.7,12.5,,2024-07-25,3.11,3.71,3.4,12.5,2024-08-22,3.51,3.78,3.6,13.5,,,,,0.0,
21,mix,Mix_AT_ET ,4,Mix_2AT_1ET 4,PRSE-PRSE-QURU,1,PRSE,2024-07-13,2.11,2.19,2.2,21.0,,2024-07-25,2.31,2.50,2.4,22.5,2024-08-22,3.92,3.96,3.9,34.5,,,,,0.0,
21,mix,Mix_AT_ET ,4,Mix_2AT_1ET 4,PRSE-PRSE-QURU,2,PRSE,2024-07-13,2.61,2.80,2.7,39.0,,2024-07-25,3.34,3.61,3.5,41.0,2024-08-22,4.16,4.52,4.3,49.5,,,,,0.0,
21,mix,Mix_AT_ET ,4,Mix_2AT_1ET 4,PRSE-PRSE-QURU,3,QURU,2024-07-13,2.96,3.22,3.1,13.5,,2024-07-25,3.65,2.71,3.2,14.5,2024-08-22,3.57,3.90,3.7,15.0,,,,,0.0,
22,mix,AM_AT_AI ,2,AM_2AT_1AI 2,ACSA-PRSE-PRSE,1,ACSA,2024-07-13,1.45,1.41,1.4,7.0,,2024-07-25,1.88,1.98,1.9,6.5,2024-08-22,1.68,1.80,1.7,8.0,,,,,0.0,
22,mix,AM_AT_AI ,2,AM_2AT_1AI 2,ACSA-PRSE-PRSE,2,PRSE,2024-07-13,2.04,2.22,2.1,23.0,,2024-07-25,2.33,2.98,2.7,26.0,2024-08-22,4.79,4.76,4.8,49.0,,,,,0.0,
22,mix,AM_AT_AI ,2,AM_2AT_1AI 2,ACSA-PRSE-PRSE,3,PRSE,2024-07-13,2.12,2.26,2.2,29.0,,2024-07-25,2.43,2.87,2.7,31.0,2024-08-22,3.59,3.27,3.4,38.5,,,,,0.0,
23,mix,Mix_AI_EI ,1,Mix_1AI_2EI 1,ACSA-PIST-PIST,1,ACSA,2024-07-13,0.98,1.01,1.0,3.0,,2024-07-25,1.43,1.11,1.3,3.0,2024-08-22,1.07,1.03,1.1,3.5,,,,,0.0,
23,mix,Mix_AI_EI ,1,Mix_1AI_2EI 1,ACSA-PIST-PIST,2,PIST,2024-07-13,3.17,2.96,3.1,17.0,,2024-07-25,3.08,3.10,3.1,16.5,2024-08-22,3.15,3.31,3.2,18.0,,,,,0.0,
